candidate_id,years_experience,seniority_level,skill_python,skill_sql,skill_statistics,skill_ml,skill_deep_learning,skill_nlp,skill_llm,skill_experimentation,skill_product_analytics
1,0,junior,1,1,1,0,0,0,0,0,1
2,8,senior,1,1,1,0,1,0,1,1,0
3,7,senior,1,1,0,0,1,1,1,0,1
4,4,mid,1,1,1,0,0,0,0,0,1
5,4,mid,0,1,1,0,0,1,0,1,1
6,9,senior,0,1,1,1,1,1,1,1,1
7,0,junior,0,0,0,0,1,0,0,0,1
8,7,senior,1,1,1,0,1,0,0,1,0
9,2,junior,1,1,1,1,0,1,0,1,1
10,1,junior,1,1,0,1,1,0,1,1,1
11,5,mid,1,1,1,0,0,1,1,1,0
12,10,senior,1,1,1,0,0,0,0,1,1
13,8,senior,1,0,1,1,1,1,0,1,1
14,8,senior,0,1,1,1,0,0,1,1,1
15,7,senior,0,1,1,1,1,0,1,1,1
16,8,senior,1,1,1,0,0,0,1,1,1
17,5,mid,1,1,0,0,0,1,0,0,0
18,1,junior,1,1,0,1,0,1,0,1,1
19,9,senior,1,1,1,1,0,1,0,1,1
20,4,mid,1,1,0,1,1,0,0,1,1
21,5,mid,1,0,0,1,1,0,0,0,1
22,4,mid,1,1,1,1,0,0,1,0,1
23,2,junior,1,1,1,1,1,1,0,1,1
24,10,senior,0,1,0,0,0,1,0,1,1
25,8,senior,1,1,1,1,0,1,0,1,1
26,7,senior,1,1,0,1,1,1,1,1,1
27,4,mid,1,0,1,1,1,0,0,0,1
28,9,senior,0,0,0,0,0,0,0,0,1
29,5,mid,0,1,1,1,1,0,0,1,1
30,4,mid,0,1,1,1,0,0,0,1,1
31,4,mid,1,1,1,1,1,1,0,0,0
32,2,junior,0,0,1,0,1,0,0,0,1
33,1,junior,1,1,0,1,1,0,1,1,1
34,6,mid,1,1,0,1,0,1,0,1,1
35,9,senior,1,0,1,1,0,1,0,0,1
36,0,junior,1,1,1,1,0,1,0,1,1
37,9,senior,0,1,1,1,0,0,1,1,1
38,9,senior,1,1,1,1,0,1,0,1,0
39,3,mid,1,1,1,0,0,0,0,1,1
40,6,mid,1,0,0,1,0,0,0,1,1
41,1,junior,0,1,1,0,1,1,1,1,1
42,8,senior,1,0,1,0,0,1,0,0,1
43,7,senior,1,0,1,1,1,1,0,1,1
44,3,mid,1,1,1,1,0,1,0,1,0
45,0,junior,0,1,0,1,0,0,0,1,1
46,10,senior,0,1,1,1,0,1,1,0,0
47,4,mid,1,1,1,0,0,0,0,1,1
48,9,senior,1,1,1,0,1,0,1,0,1
49,7,senior,0,0,1,1,0,0,1,1,1
50,8,senior,0,1,1,0,0,0,0,0,1
51,8,senior,1,1,0,1,0,1,1,1,1
52,2,junior,1,1,1,0,0,1,0,0,1
53,4,mid,1,1,1,1,1,1,0,1,1
54,5,mid,0,1,1,1,0,0,0,1,0
55,5,mid,1,1,1,0,1,0,1,1,1
56,0,junior,1,1,1,1,0,0,1,1,0
57,6,mid,1,1,0,1,0,0,0,1,0
58,1,junior,1,1,1,1,0,0,1,1,1
59,8,senior,1,1,1,1,0,1,0,1,0
60,7,senior,0,1,0,0,0,0,0,1,0
61,10,senior,1,1,1,1,1,0,0,1,0
62,8,senior,1,1,1,1,1,1,0,0,1
63,4,mid,1,0,1,0,1,1,0,0,0
64,10,senior,1,1,1,1,1,0,1,1,1
65,4,mid,0,1,1,1,0,0,0,1,0
66,3,mid,1,1,1,1,1,0,0,1,1
67,9,senior,1,1,1,1,1,1,0,1,1
68,4,mid,1,1,1,1,0,0,0,1,1
69,0,junior,1,1,1,0,1,0,0,1,0
70,5,mid,1,1,0,1,0,0,0,0,1
71,8,senior,1,1,1,0,1,1,1,1,1
72,2,junior,1,1,1,1,0,1,0,1,0
73,5,mid,1,1,1,0,1,0,0,1,1
74,1,junior,1,1,0,0,0,1,0,1,0
75,7,senior,1,0,1,1,1,0,0,1,1
76,5,mid,1,0,1,0,1,1,0,1,0
77,3,mid,1,1,0,1,0,1,0,1,1
78,2,junior,1,0,0,0,0,1,0,0,0
79,6,mid,1,0,1,1,1,1,0,1,0
80,7,senior,1,1,0,1,0,0,1,1,1
81,10,senior,0,1,0,0,1,0,0,1,0
82,4,mid,0,1,1,1,1,1,1,1,0
83,1,junior,1,1,1,1,1,1,0,1,1
84,9,senior,1,1,1,1,1,0,0,1,1
85,6,mid,1,1,0,1,0,1,0,1,1
86,7,senior,1,1,0,1,1,1,0,1,1
87,1,junior,1,0,1,0,0,0,0,1,1
88,3,mid,1,1,1,0,0,0,1,0,0
89,8,senior,0,1,1,1,0,1,0,0,0
90,9,senior,1,1,0,0,1,1,0,1,1
91,4,mid,1,1,1,0,0,1,0,1,1
92,8,senior,1,1,1,1,1,0,0,1,0
93,9,senior,1,1,0,1,1,1,0,0,1
94,4,mid,0,0,1,1,1,0,0,0,1
95,9,senior,1,1,0,0,0,0,1,1,0
96,3,mid,0,1,1,0,1,0,1,1,0
97,2,junior,1,1,1,1,0,1,0,0,1
98,7,senior,1,0,1,0,1,1,1,1,1
99,7,senior,1,0,1,1,1,0,1,1,1
100,1,junior,1,1,1,0,1,0,0,1,1
101,9,senior,1,1,0,0,1,0,0,1,1
102,2,junior,1,0,1,1,1,1,0,0,1
103,8,senior,1,0,1,0,0,1,0,0,0
104,0,junior,1,1,1,1,0,0,1,1,1
105,8,senior,0,1,0,1,0,1,0,0,1
106,8,senior,1,1,1,1,1,0,0,1,1
107,8,senior,1,0,0,1,0,0,1,1,1
108,7,senior,0,1,0,1,0,0,0,1,1
109,5,mid,1,1,1,1,0,1,0,0,1
110,7,senior,1,1,1,1,0,1,0,1,1
111,3,mid,1,0,1,1,0,0,1,1,0
112,8,senior,1,1,1,1,0,0,1,0,1
113,6,mid,1,1,1,1,1,0,0,1,1
114,5,mid,1,1,0,1,1,1,0,0,0
115,5,mid,0,0,1,1,1,1,0,1,1
116,6,mid,0,1,1,1,0,1,0,1,1
117,0,junior,1,1,1,1,1,1,1,1,0
118,1,junior,1,1,0,0,1,1,0,1,1
119,2,junior,1,1,1,0,0,1,0,1,1
120,1,junior,1,1,1,1,0,0,0,1,1
121,4,mid,1,1,1,0,1,0,0,1,1
122,7,senior,1,1,0,1,0,1,0,1,1
123,7,senior,1,0,1,1,0,0,0,1,1
124,5,mid,1,0,0,0,0,1,1,1,1
125,9,senior,1,0,0,0,0,1,0,1,1
126,6,mid,1,0,1,1,0,0,1,1,1
127,0,junior,1,1,0,1,0,1,0,1,1
128,8,senior,0,1,1,1,0,0,0,1,1
129,6,mid,1,1,1,0,0,1,1,0,1
130,6,mid,1,1,1,1,0,1,1,1,0
131,6,mid,1,1,1,1,1,1,0,1,1
132,6,mid,0,0,0,1,0,0,0,1,0
133,0,junior,0,1,1,1,1,1,0,1,1
134,6,mid,1,1,1,1,0,0,1,1,1
135,8,senior,0,1,1,1,1,0,0,1,0
136,3,mid,1,1,1,1,0,0,0,1,0
137,6,mid,1,1,0,0,0,1,0,0,1
138,0,junior,1,0,1,0,0,0,1,1,0
139,3,mid,0,1,1,1,0,0,0,0,1
140,4,mid,1,1,1,1,0,1,0,0,0
141,10,senior,1,0,0,1,1,0,0,1,0
142,2,junior,0,0,0,1,1,0,0,1,0
143,3,mid,1,1,0,0,0,0,1,1,1
144,4,mid,1,1,1,1,0,0,0,1,1
145,10,senior,1,0,1,1,0,1,0,1,0
146,9,senior,1,1,1,0,1,1,1,0,0
147,0,junior,1,0,0,1,0,0,1,1,1
148,2,junior,1,1,1,1,1,0,0,1,1
149,9,senior,0,1,0,1,0,1,0,1,1
150,0,junior,1,1,1,1,0,0,1,0,1
151,9,senior,1,1,1,0,1,0,1,1,1
152,3,mid,0,1,1,0,0,0,0,1,1
153,10,senior,1,1,1,1,1,1,0,0,1
154,3,mid,1,1,1,0,0,1,0,1,1
155,4,mid,1,1,1,1,1,1,0,0,1
156,7,senior,1,1,1,1,0,1,0,0,1
157,1,junior,1,1,1,1,1,0,0,0,1
158,6,mid,0,1,1,1,1,0,0,0,0
159,5,mid,1,1,0,1,0,0,0,1,0
160,8,senior,1,0,0,1,1,0,1,1,1
161,10,senior,1,0,1,0,0,1,0,1,1
162,7,senior,1,1,0,1,0,0,1,0,0
163,4,mid,0,1,1,0,0,0,0,0,1
164,4,mid,0,1,1,1,1,0,1,1,0
165,4,mid,0,1,0,1,1,1,0,1,0
166,8,senior,0,1,0,1,0,0,0,1,1
167,3,mid,1,1,0,0,1,0,1,1,1
168,1,junior,1,1,0,1,0,0,0,1,1
169,3,mid,1,1,1,1,0,0,0,1,0
170,0,junior,1,0,1,1,0,0,0,1,1
171,1,junior,1,1,0,0,0,0,0,0,1
172,0,junior,1,0,1,1,1,1,0,1,1
173,8,senior,1,1,1,1,1,1,1,1,1
174,7,senior,1,1,1,0,0,0,0,0,1
175,7,senior,1,1,0,1,1,1,1,1,0
176,5,mid,1,1,1,1,0,1,1,1,0
177,7,senior,0,1,0,0,1,0,1,0,1
178,1,junior,1,1,1,1,0,1,1,1,1
179,9,senior,1,1,1,1,1,0,0,0,1
180,5,mid,1,1,1,1,1,1,1,1,0
181,10,senior,1,1,1,1,0,1,0,1,1
182,1,junior,1,1,1,1,0,0,0,0,0
183,5,mid,1,1,1,1,0,1,0,1,0
184,7,senior,1,0,0,1,1,1,0,1,0
185,5,mid,1,1,1,1,0,1,0,1,1
186,4,mid,1,1,1,1,0,1,1,1,1
187,1,junior,1,0,0,1,1,0,0,1,1
188,4,mid,1,1,0,0,0,0,1,1,0
189,2,junior,1,1,0,1,0,0,1,0,1
190,3,mid,1,1,1,1,0,0,0,1,1
191,7,senior,1,1,1,1,0,0,0,1,1
192,6,mid,1,1,1,1,0,1,0,0,1
193,6,mid,0,0,1,1,1,0,0,0,0
194,3,mid,0,0,0,0,1,1,0,1,1
195,10,senior,1,0,1,1,0,0,0,1,1
196,0,junior,1,1,1,1,1,1,1,1,1
197,3,mid,0,0,1,1,0,0,1,0,0
198,1,junior,1,1,0,1,0,0,0,1,0
199,3,mid,1,1,1,1,0,0,1,1,1
200,10,senior,1,1,1,1,0,0,0,1,1
201,4,mid,1,1,1,0,0,1,0,1,1
202,9,senior,1,0,0,0,0,1,0,0,1
203,5,mid,0,1,1,0,1,1,0,1,0
204,7,senior,1,1,1,1,1,0,1,0,1
205,5,mid,1,1,1,0,0,0,0,1,0
206,2,junior,1,1,1,1,0,1,0,1,1
207,8,senior,1,1,1,0,0,1,1,0,1
208,10,senior,1,0,1,1,0,0,0,0,1
209,2,junior,1,0,1,1,1,0,0,1,1
210,8,senior,1,1,1,1,0,1,1,1,0
211,2,junior,1,1,1,1,0,1,1,0,0
212,7,senior,1,1,1,1,1,0,0,1,0
213,8,senior,1,1,1,1,0,1,1,1,1
214,4,mid,1,1,1,1,1,1,1,0,0
215,8,senior,0,1,1,1,1,0,0,1,1
216,2,junior,1,1,1,0,0,1,0,1,0
217,0,junior,0,0,0,1,0,0,1,0,0
218,1,junior,0,1,1,1,0,1,0,0,1
219,4,mid,1,0,1,0,0,0,0,1,0
220,9,senior,0,0,1,0,0,0,1,0,0
221,1,junior,0,1,1,1,0,0,0,1,1
222,5,mid,1,1,1,1,1,0,0,0,0
223,7,senior,1,1,1,1,0,1,0,1,0
224,2,junior,1,1,1,1,0,1,0,0,1
225,7,senior,1,1,1,1,1,0,0,0,1
226,3,mid,1,0,1,1,1,1,0,1,1
227,8,senior,1,1,0,1,0,1,0,0,1
228,6,mid,1,1,0,1,1,0,0,1,1
229,6,mid,1,1,1,1,1,1,0,1,0
230,1,junior,1,0,1,0,0,0,0,1,1
231,5,mid,0,1,1,1,0,0,0,0,0
232,9,senior,1,1,1,1,1,1,0,1,1
233,0,junior,1,1,1,0,1,0,1,0,1
234,8,senior,1,0,0,1,1,1,1,1,1
235,5,mid,0,1,1,1,0,1,0,0,1
236,7,senior,0,1,1,0,1,0,0,1,0
237,7,senior,1,0,1,0,0,0,1,1,0
238,4,mid,1,1,0,1,0,0,0,0,1
239,3,mid,1,1,1,0,1,0,0,1,0
240,6,mid,1,1,1,0,0,0,1,0,1
241,1,junior,1,1,1,1,1,1,0,1,0
242,6,mid,1,1,0,1,0,0,0,1,0
243,1,junior,0,1,0,1,1,0,0,1,1
244,7,senior,0,1,1,1,0,0,0,1,0
245,6,mid,1,1,1,0,1,0,0,1,1
246,0,junior,0,0,1,0,1,1,1,1,0
247,8,senior,1,1,1,0,0,0,1,1,1
248,4,mid,1,1,1,1,0,1,1,1,0
249,8,senior,0,1,1,1,1,0,0,1,1
250,0,junior,1,1,1,0,0,0,0,1,0
251,1,junior,1,0,0,1,1,0,0,1,1
252,5,mid,1,1,1,1,0,1,0,1,1
253,2,junior,1,1,1,1,0,1,0,1,0
254,3,mid,1,1,1,1,1,1,0,0,1
255,7,senior,1,1,1,1,1,0,1,1,1
256,1,junior,0,1,1,1,0,0,0,1,1
257,7,senior,0,0,1,0,1,1,1,1,1
258,1,junior,0,1,0,0,0,0,1,1,0
259,1,junior,0,1,1,1,1,0,0,1,1
260,6,mid,1,1,0,1,1,1,0,1,1
261,8,senior,1,1,1,1,0,0,0,1,1
262,1,junior,1,1,1,1,0,1,1,1,1
263,3,mid,1,0,0,1,0,0,1,1,0
264,10,senior,1,1,1,1,0,1,0,1,0
265,10,senior,0,1,0,1,1,0,1,0,1
266,6,mid,1,1,1,1,1,0,0,1,1
267,4,mid,1,0,1,0,1,0,1,0,1
268,3,mid,1,1,1,1,0,1,1,0,0
269,6,mid,1,1,1,1,0,1,0,1,1
270,6,mid,1,1,1,0,1,0,0,1,1
271,3,mid,1,1,1,1,0,1,0,1,1
272,0,junior,0,1,1,1,1,1,0,1,1
273,1,junior,1,1,1,1,1,0,0,0,0
274,10,senior,1,1,1,0,0,1,0,1,1
275,4,mid,1,1,0,1,1,0,0,1,1
276,5,mid,1,1,1,1,1,0,0,1,1
277,5,mid,0,1,1,1,0,1,1,0,0
278,8,senior,1,1,1,0,1,0,0,1,0
279,0,junior,1,1,1,1,1,0,1,1,0
280,0,junior,1,1,1,1,0,0,0,1,0
281,3,mid,1,1,1,1,1,0,1,0,1
282,5,mid,1,1,0,1,0,0,1,0,1
283,7,senior,1,1,0,1,0,0,0,1,1
284,5,mid,1,1,1,1,0,0,0,1,1
285,4,mid,0,0,1,1,0,1,1,1,1
286,10,senior,1,1,1,1,1,0,0,1,0
287,1,junior,1,1,0,1,1,0,0,0,1
288,6,mid,1,1,0,0,0,0,0,0,1
289,5,mid,1,1,0,1,0,1,0,1,1
290,5,mid,1,1,1,1,0,1,0,0,1
291,8,senior,1,1,1,1,0,1,1,1,0
292,2,junior,1,1,1,0,1,1,1,1,0
293,10,senior,0,1,1,0,0,1,1,1,1
294,3,mid,1,0,0,0,1,0,1,1,1
295,5,mid,1,1,1,0,0,1,0,0,1
296,5,mid,1,1,1,1,0,0,0,1,0
297,9,senior,1,1,1,1,0,1,0,1,1
298,4,mid,1,1,1,0,0,1,0,0,1
299,3,mid,1,0,1,1,0,0,1,1,1
300,0,junior,1,0,1,1,1,0,1,0,1
301,4,mid,1,0,1,1,1,0,0,1,0
302,9,senior,1,0,1,0,0,1,0,1,1
303,0,junior,1,1,0,1,1,0,0,1,1
304,9,senior,0,0,1,1,0,1,0,0,0
305,5,mid,1,1,1,1,0,1,0,0,1
306,1,junior,1,0,0,1,0,0,0,0,1
307,3,mid,1,1,1,0,0,0,0,1,0
308,6,mid,1,1,1,1,0,0,0,0,1
309,3,mid,1,1,0,1,0,0,0,1,1
