job_id,job_difficulty,seniority_level,required_python,required_sql,required_statistics,required_ml,required_deep_learning,required_nlp,required_llm,required_experimentation,required_product_analytics
1,3,junior,0,1,1,0,0,1,1,1,1
2,4,junior,0,1,0,1,0,0,0,0,0
3,3,mid,1,1,1,1,1,0,0,1,1
4,1,mid,0,1,0,1,1,1,0,0,1
5,3,senior,1,1,1,0,0,0,0,1,1
6,1,junior,0,0,1,0,0,0,1,0,1
7,2,senior,0,1,0,0,1,1,0,1,0
8,5,senior,0,0,0,1,1,0,1,1,1
9,3,junior,0,0,0,1,1,0,1,1,0
10,3,senior,0,1,1,1,0,0,0,0,1
11,5,mid,1,1,1,0,0,1,1,0,1
12,2,junior,1,1,1,1,0,0,1,1,0
13,5,mid,1,1,0,1,0,1,1,1,0
14,4,mid,1,0,1,1,1,1,1,1,0
15,2,senior,1,1,0,1,0,1,0,0,1
16,2,mid,1,0,1,1,0,1,0,1,0
17,2,junior,1,1,0,1,0,1,1,1,1
18,3,junior,0,1,1,1,1,0,1,1,1
19,4,senior,1,0,1,1,1,0,0,0,0
20,3,junior,0,1,0,1,1,0,1,0,1
21,1,mid,1,0,1,1,0,0,0,1,1
22,5,mid,0,0,0,1,1,0,1,0,1
23,2,junior,1,0,1,0,0,1,1,0,1
24,5,mid,1,1,1,0,0,0,0,0,1
25,1,junior,1,1,0,1,0,1,1,0,1
26,2,junior,0,1,0,1,1,1,0,1,1
27,4,mid,1,0,1,0,1,1,1,0,0
28,2,mid,1,1,0,1,1,1,1,0,0
29,5,mid,0,0,0,0,1,1,0,1,0
30,3,junior,1,0,1,0,1,1,0,1,1
31,3,senior,1,1,1,0,0,0,0,0,1
32,1,mid,0,0,0,0,1,0,0,0,1
33,3,senior,0,1,0,1,1,1,1,1,0
34,2,junior,1,1,1,0,1,1,1,1,1
35,3,junior,1,1,0,0,0,1,1,0,1
36,5,senior,0,0,1,0,1,0,0,1,1
37,1,senior,1,1,0,1,1,0,0,1,0
38,5,senior,1,0,0,1,0,1,0,1,0
39,2,senior,1,1,0,0,1,0,0,0,1
40,3,mid,0,0,1,0,0,0,0,1,1
41,3,senior,1,0,1,1,0,1,1,1,1
42,3,mid,0,0,1,0,1,0,1,1,0
43,5,senior,0,0,0,1,0,1,1,0,1
44,5,senior,1,1,1,1,0,0,0,0,0
45,5,mid,1,1,0,0,0,0,1,0,1
46,3,mid,0,0,1,0,1,0,1,0,1
47,4,junior,0,0,1,0,0,0,0,0,1
48,5,junior,0,0,1,0,1,0,0,1,0
49,5,junior,0,1,1,0,0,1,0,0,0
50,5,mid,0,0,0,0,0,0,1,0,0
51,1,junior,0,0,0,1,1,1,0,1,0
52,1,junior,0,0,1,1,1,0,1,0,0
53,3,senior,1,1,1,0,0,0,0,1,1
54,1,junior,1,0,0,1,0,0,0,0,0
55,5,junior,0,0,0,0,0,0,1,0,1
56,4,mid,0,0,0,0,1,0,0,0,1
57,1,junior,1,0,0,1,1,1,1,0,1
58,1,mid,0,0,0,1,1,0,1,1,1
59,1,senior,1,0,1,0,1,1,0,1,1
60,2,junior,0,1,0,1,0,0,0,0,1
